scenario_id,crashed,min_distance,fitness,total_evaluations,total_time_seconds,iterations,lanes_count,vehicles_count,initial_spacing,ego_spacing,initial_lane_id,duration,simulation_frequency,policy_frequency
80,True,0.0,-1.0,1,2.836101770401001,0,10,46,0.5828845857188196,1.10990112812964,4,30,25,5
81,True,0.0,-1.0,18,20.385076999664307,1,3,29,1.4523274533403832,3.7361119575679265,1,30,25,5
82,True,0.0,-1.0,11,19.51297688484192,0,8,60,4.3465457701692385,1.6530591980078184,7,30,25,5
83,True,0.0,-1.0,6,10.711792230606079,0,8,22,0.7007218685431033,2.887279689523531,3,30,25,5
84,False,3.999458197030395,3.999458197030395,101,75.71952176094055,10,8,45,4.550916482293257,3.2478668632959327,4,30,25,5
85,True,0.0,-1.0,14,9.39163088798523,1,8,7,2.6229604797405384,2.388716466381887,5,30,25,5
86,True,0.0,-1.0,3,18.668864011764526,0,10,39,1.2890940958935644,2.8467541088883785,1,30,25,5
87,True,0.0,-1.0,2,12.355937004089355,0,7,36,4.0259268944115645,1.5171759793999813,5,30,25,5
88,True,0.0,-1.0,1,3.082606077194214,0,7,16,3.6643439956766493,3.065528498743009,6,30,25,5
89,True,0.0,-1.0,31,223.517639875412,2,9,37,3.964724778460935,3.1933576373931034,1,30,25,5
90,True,0.0,-1.0,15,15.979315996170044,1,8,25,3.5685369839039573,2.5555801542220804,2,30,25,5
91,True,0.0,-1.0,1,7.483683824539185,0,8,20,4.596129379724313,3.457944756214527,6,30,25,5
92,True,0.0,-1.0,14,21.08067488670349,1,6,38,0.8413333688676348,2.0509623332114475,2,30,25,5
93,True,0.0,-1.0,80,73.36363005638123,7,10,60,2.9443016503504347,2.378070485966571,2,30,25,5
94,False,3.9977734290976388,3.9977734290976388,101,22.930305004119873,10,3,18,4.049118701573619,3.1661336526708417,1,30,25,5
95,True,0.0,-1.0,7,11.370367050170898,0,6,35,4.609883599509351,1.6784816413323114,2,30,25,5
96,True,0.0,-1.0,5,14.003224849700928,0,9,45,3.8025032146044726,2.644888207225844,8,30,25,5
97,False,3.9998629280254394,3.9998629280254394,101,60.03514289855957,10,4,42,2.445400599488887,2.5584459446154884,2,30,25,5
98,True,0.0,-1.0,39,42.941502809524536,3,5,57,4.330989127701632,1.2165985078418118,0,30,25,5
99,True,0.0,-1.0,10,12.545922994613647,0,10,33,3.0429123430301974,2.5357478790761556,9,30,25,5
